Unnamed: 0,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2,lat,lng
0,환경부(한국자동차환경협회),KH양주휴게소,1,DC차데모+AC3상+DC콤보,경기도,양주시,경기도 양주시 장흥면 서울외곽순환고속도로 58,제한없음,흥면 서울외곽순환고속도로 58,0,0
1,환경부(한국자동차환경협회),S-oil 셀프 신현주유소(영광셀프주유소),1,DC차데모+AC3상+DC콤보,경기도,시흥시,경기도 시흥시 시흥대로869,제한없음,흥대로869,37.4140389763361,126.787795815644
2,환경부(한국자동차환경협회),VIC마켓 킨텍스점,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 주엽로 79,제한없음,산서구 주엽로 79,37.667273153472,126.753658376306
3,환경부(한국자동차환경협회),VIC마켓 킨텍스점,2,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 주엽로 79,제한없음,산서구 주엽로 79,37.667273153472,126.753658376306
4,환경부(한국자동차환경협회),㈜디에스 화랑포 셀프주유소 ,91,DC콤보,경기도,가평군,경기도 가평군 청평면 경춘로 113,제한없음,평면 경춘로 113,37.6862771629713,127.379211711419
5,환경부(한국자동차환경협회),㈜안성내츄럴리조트,11,DC콤보,경기도,안성시,경기도 안성시 죽산면 죽양대로 136-17,제한없음,산면 죽양대로 136-17,37.0947455351975,127.437989544641
6,환경부(한국자동차환경협회),㈜안성내츄럴리조트,12,DC콤보,경기도,안성시,경기도 안성시 죽산면 죽양대로 136-17,제한없음,산면 죽양대로 136-17,37.0947455351975,127.437989544641
7,환경부(한국자동차환경협회),㈜연세에너지,91,DC콤보,경기도,파주시,경기도 파주시 원롱면 엘지로 185,제한없음,롱면 엘지로 185,0,0
8,환경부(한국자동차환경협회),㈜흥안주유소/흥안LPG충전소,91,DC콤보,경기도,파주시,경기도 파주시 법원읍 화합로 212,제한없음,원읍 화합로 212,37.8456302935553,126.890038285022
9,환경부(한국자동차환경협회),가능동 입체공영주차장(건물식주차장),1,DC콤보,경기도,의정부시,경기도 의정부시 가능동 628,제한없음,가능동 628,37.7514947565296,127.039174599312
10,환경부(한국자동차환경협회),가람누리주차장,21,DC콤보,경기도,포천시,경기도 포천시 영북면 대회산리 460-1,제한없음,북면 대회산리 460-1,38.0748608858649,127.222477986004
11,환경부(한국자동차환경협회),가람누리주차장,22,DC콤보,경기도,포천시,경기도 포천시 영북면 대회산리 460-1,제한없음,북면 대회산리 460-1,38.0748608858649,127.222477986004
12,환경부(한국자동차환경협회),가평군청,1,DC차데모+AC3상+DC콤보,경기도,가평군,경기도 가평군 가평읍 석봉로 181정면 우측 주차장,제한없음,평읍 석봉로 181정면 우측 주차장(읍내리 513),37.8313195480319,127.509705314726
13,환경부(한국자동차환경협회),가평환경성질환 예방관리센터,1,DC차데모+AC3상+DC콤보,경기도,가평군,경기도 가평군 상면 행현리 922,제한없음,면 행현리 922,37.7725770971533,127.336392666765
14,환경부(한국자동차환경협회),가평휴게소(서울방향),1,DC차데모+AC3상+DC콤보,경기도,가평군,"경기도 가평군 설악면 미사리로 544 가평휴게소, SK 가평주유소 옆",제한없음,"악면 미사리로 544 가평휴게소, SK 가평주유소(서울방향) 옆(미사리 287-28)",37.7016978925313,127.543474220155
15,환경부(한국자동차환경협회),가평휴게소(서울방향),1,DC차데모+AC3상+DC콤보,경기도,가평군,경기도 가평군 설악면 미사리로 544,제한없음,악면 미사리로 544,37.7016978925313,127.543474220155
16,환경부(한국자동차환경협회),가평휴게소(춘천방향),1,DC차데모+AC3상+DC콤보,경기도,가평군,"경기도 가평군 설악면 미사리로 540번길 51 가평휴게소, SK 가평주유소 옆",제한없음,"악면 미사리로 540번길 51 가평휴게소, SK 가평주유소(춘천방향) 옆(미사리 149)",37.7019403489619,127.546805136522
17,환경부(한국자동차환경협회),가평휴게소(춘천방향),1,DC차데모+AC3상+DC콤보,경기도,가평군,경기도 가평군 설악면 미사리로540번길 51,제한없음,악면 미사리로540번길 51,37.7019403489619,127.546805136522
18,환경부(한국자동차환경협회),갈현동 주민센터 주차장,1,DC차데모+AC3상+DC콤보,경기도,과천시,경기도 과천시 갈현동 679 주민센터 입구앞,제한없음,현동 679 주민센터 입구앞,37.4193374231065,126.989112575452
19,환경부(한국자동차환경협회),감악산관리사무소,11,DC콤보,경기도,파주시,경기도 파주시 적성면 설마리48-3,제한없음,성면 설마리48-3,37.939985133183,126.942035171875
20,환경부(한국자동차환경협회),감악산관리사무소,12,DC콤보,경기도,파주시,경기도 파주시 적성면 설마리48-3,제한없음,성면 설마리48-3,37.939985133183,126.942035171875
21,환경부(한국자동차환경협회),강상면다목적복지회관,21,DC콤보,경기도,양평군,경기도 양평군 강상면 송학길 60,제한없음,상면 송학길 60,37.4806914722769,127.478056732313
22,환경부(한국자동차환경협회),강상면다목적복지회관,22,DC콤보,경기도,양평군,경기도 양평군 강상면 송학길 60,제한없음,상면 송학길 60,37.4806914722769,127.478056732313
23,환경부(한국자동차환경협회),강하면사무소,21,DC콤보,경기도,양평군,경기도 양평군 강하면 사호3길 45,제한없음,하면 사호3길 45,37.4943861938847,127.416345878269
24,환경부(한국자동차환경협회),강하면사무소,22,DC콤보,경기도,양평군,경기도 양평군 강하면 사호3길 45,제한없음,하면 사호3길 45,37.4943861938847,127.416345878269
25,환경부(한국자동차환경협회),개군면복지회관,1,DC차데모+AC3상+DC콤보,경기도,양평군,경기도 양평군 개군면 추읍로 37,제한없음,군면 추읍로 37,37.4282155751935,127.542239946249
26,환경부(한국자동차환경협회),개군면사무소,1,DC차데모+AC3상+DC콤보,경기도,양평군,경기도 양평군 개군면 하자포길33번길 8,제한없음,군면 하자포길33번길 8,37.4259876341568,127.536796129454
27,환경부(한국자동차환경협회),갯골생태공원,1,DC차데모+AC3상+DC콤보,경기도,시흥시,경기도 시흥시 장곡동 724-32 오른쪽 주차장 입구 오른쪽 끝부지,제한없음,곡동 724-32 오른쪽 주차장 입구 오른쪽 끝부지,37.390982319443,126.781110931819
28,환경부(한국자동차환경협회),경기 갈매동구릉영업소,1,DC콤보,경기도,구리시,경기도 구리시 갈매동 53-44,제한없음,매동 53-44,0,0
29,환경부(한국자동차환경협회),경기광주휴게소(서울방향),1,DC차데모+AC3상+DC콤보,경기도,광주시,경기도 광주시 곤지암읍 만삼로 211,제한없음,지암읍 만삼로 211,37.3804084325154,127.424400690047
