운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,급속충전량,비고,주소2
환경부(한국자동차환경협회),KT가정빌딩,1,DC차데모+AC3상+DC콤보,대전광역시,유성구 ,대전광역시 유성구 가정로 168 입구 경비실 앞 주차장,24시간 이용가능,제한없음,급속(50kW),주차요금 별도, 가정로 168 입구 경비실 앞 주차장
환경부(한국자동차환경협회),가수원동행정복지센터,1,DC콤보,대전광역시,서구 ,대전광역시 서구 가수원로 105,24시간 이용가능,제한없음,급속(100kW단독),,가수원로 105
환경부(한국자동차환경협회),갈마2동 공영주차장,1,DC콤보,대전광역시,서구 ,대전광역시 서구 갈마중로 30번길 15-5,24시간 이용가능,제한없음,급속(100kW단독),"주간 무료, 18:00 ~ 다음 날 05:00까지 10분당 100원, 저공해차 이용시 50% 할인",갈마중로 30번길 15-5
환경부(한국자동차환경협회),갈마도서관,1,DC차데모+AC3상+DC콤보,대전광역시,서구 ,대전광역시 서구 갈마동 427-20 ,24시간 이용가능,제한없음,급속(100kW멀티),,갈마동 427-20 
환경부(한국자동차환경협회),관저2동주민센터,1,DC차데모+AC3상+DC콤보,대전광역시,서구 ,대전광역시 서구 관저동 1104,24시간 이용가능,제한없음,급속(50kW),,관저동 1104
환경부(한국자동차환경협회),관저문예회관 공영주차장,11,DC콤보,대전광역시,서구 ,대전광역시 서구 관저동 1199,24시간 이용가능,제한없음,급속(100kW동시),,관저동 1199
환경부(한국자동차환경협회),관저문예회관 공영주차장,12,DC콤보,대전광역시,서구 ,대전광역시 서구 관저동 1199,24시간 이용가능,제한없음,급속(100kW동시),,관저동 1199
환경부(한국자동차환경협회),관저저류지주차장,1,DC차데모+AC3상+DC콤보,대전광역시,서구 ,대전광역시 서구 관저동 1510,24시간 이용가능,제한없음,급속(50kW),,관저동 1510
환경부(한국자동차환경협회),교촌동 공영주차장,1,DC콤보,대전광역시,유성구 ,대전광역시 유성구 교촌동 636-1,24시간 이용가능,제한없음,급속(100kW단독),, 교촌동 636-1
환경부(한국자동차환경협회),구봉산공원 노상주차장,1,DC콤보,대전광역시,서구 ,대전광역시 서구 관저동 843-16,24시간 이용가능,제한없음,급속(100kW단독),,관저동 843-16
환경부(한국자동차환경협회),구즉동 주민센터,1,DC차데모+AC3상+DC콤보,대전광역시,유성구 ,대전광역시 유성구 구룡달전로 22,24시간 이용가능,제한없음,급속(50kW),, 구룡달전로 22
환경부(한국자동차환경협회),금강유역환경청,21,DC콤보,대전광역시,유성구 ,대전광역시 유성구 대학로 417(21-2 금강유역환경청),24시간 이용가능,제한없음,급속(200kW동시),, 대학로 417(21-2 금강유역환경청)
환경부(한국자동차환경협회),금강유역환경청,22,DC콤보,대전광역시,유성구 ,대전광역시 유성구 대학로 417(21-2 금강유역환경청),24시간 이용가능,제한없음,급속(200kW동시),, 대학로 417(21-2 금강유역환경청)
환경부(한국자동차환경협회),기성동 공영주차장,1,DC콤보,대전광역시,서구 ,대전광역시 서구 흑석동 966,24시간 이용가능,제한없음,급속(100kW멀티),,흑석동 966
환경부(한국자동차환경협회),기초과학연구원,41,DC콤보,대전광역시,유성구 ,대전광역시 유성구 엑스포로 55,24시간 이용가능,제한없음,급속(200kW동시),, 엑스포로 55
